dspKey,measureId,statTime,shows,clicks,requests,responses,wins,cid,adType,costs
quyuansu-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 14,7723,114,1798615,115378,85331,5,3,59.9364
fenghuangdsp-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 15,10586,39,358189,20406,13163,27,5,52.95183
ipinyou,5a3282dee4b0ac3f73f4cd26,2020-11-06 15,1707,42,1049280,78879,3123,5,1,29.61816
qidian,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,0,0,52940,0,0,27,3,0
tianjinkuaiyou-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,1,0,86676,244,6,27,3,0.00779
biyi-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,5122,342,154044,18677,7753,27,1,221.26081
xinyi-openRTB,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,0,0,55491,0,0,27,1,0
ipinyou,5a3282dee4b0ac3f73f4cd38,2020-11-06 14,261,15,137250,8412,491,27,1,4.49577
qidian,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,0,0,132653,0,0,5,3,0
quyuansu-openRTB,5a3282dee4b0ac3f73f4cd28,2020-11-06 15,3679,43,757281,49868,38937,5,3,28.51381
zhixing-openRTB,5a3282dee4b0ac3f73f4cd3a,2020-11-06 14,0,0,53297,0,0,27,3,0
youtou-openRTB,5a3282dee4b0ac3f73f4cd4c,2020-11-06 14,10398,33,338392,20114,13041,27,5,51.99
jd,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,374,16,941869,19899,732,5,1,24.15145
ruangaoyun,5a3282dee4b0ac3f73f4cd4c,2020-11-06 15,3062,6,352982,3944,3831,27,5,24.496
ipinyou,5a3282dee4b0ac3f73f4cd26,2020-11-06 14,2156,47,941869,78415,4005,5,1,37.6724
ipinyou-pd,5a3282dee4b0ac3f73f4cd38,2020-11-06 15,268,22,154044,7015,494,27,1,5.628
